      +0.000       -0.000            0            A 
      +1.000       -2.000            3            B 
      +2.000       -4.000            6            C 
      +3.000       -6.000            9            D 
      +4.000       -8.000            C            E 
      +5.000      -10.000            F            F 
      +6.000      -12.000           12            G 
      +7.000      -14.000           15            H 
      +8.000      -16.000           18            I 
      +9.000      -18.000           1B            J 
